               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.038194,            0.042586,                   0,             0.92236,             0.91607,             0.95271,             0.69283,            0.040686,              0.1058,                   0,            0.009505,            0.009505,            0.009505
                  77,            0.035229,             0.04152,                   0,             0.92302,             0.92461,              0.9505,             0.67292,             0.04116,             0.10325,                   0,            0.009505,            0.009505,            0.009505
                  78,            0.035713,            0.044596,                   0,             0.91883,             0.91116,             0.94838,             0.68504,            0.041853,             0.10359,                   0,            0.009505,            0.009505,            0.009505
                  79,            0.037436,            0.042516,                   0,             0.92391,             0.92769,             0.95931,             0.69032,            0.041264,             0.10171,                   0,            0.009505,            0.009505,            0.009505
                  80,            0.036393,            0.042811,                   0,             0.92061,             0.89007,             0.94538,             0.67733,            0.041887,             0.10552,                   0,            0.009505,            0.009505,            0.009505
                  81,            0.036737,            0.046399,                   0,             0.92616,             0.90547,             0.95406,             0.70337,            0.040579,             0.10064,                   0,            0.009505,            0.009505,            0.009505
                  82,            0.036173,            0.045094,                   0,             0.93364,             0.90993,             0.95666,             0.68613,            0.040387,             0.10565,                   0,            0.009505,            0.009505,            0.009505
                  83,            0.036391,            0.039491,                   0,             0.93369,             0.90156,             0.95084,             0.70856,            0.039622,            0.099902,                   0,            0.009505,            0.009505,            0.009505
                  84,            0.035518,            0.045812,                   0,             0.91371,             0.90314,              0.9483,              0.6698,            0.041517,             0.10883,                   0,            0.009505,            0.009505,            0.009505
                  85,            0.036581,            0.044016,                   0,             0.91682,             0.89979,             0.93957,              0.6979,            0.040015,             0.10901,                   0,            0.009505,            0.009505,            0.009505
                  86,             0.03522,            0.044073,                   0,             0.93203,             0.86744,             0.92696,              0.6855,            0.040479,             0.10965,                   0,            0.009505,            0.009505,            0.009505
                  87,            0.037079,            0.043039,                   0,             0.93536,             0.92047,             0.95052,             0.70014,            0.040632,             0.10438,                   0,            0.009505,            0.009505,            0.009505
                  88,            0.038505,            0.043795,                   0,             0.91648,             0.91933,              0.9481,             0.68057,            0.040807,             0.10529,                   0,            0.009505,            0.009505,            0.009505
                  89,            0.036838,            0.043813,                   0,             0.91976,             0.92217,             0.94795,             0.68409,            0.040406,             0.10422,                   0,            0.009505,            0.009505,            0.009505
                  90,            0.037683,            0.042273,                   0,             0.92846,             0.95009,             0.95688,             0.72711,            0.038162,            0.098325,                   0,            0.009505,            0.009505,            0.009505
                  91,            0.035231,            0.042089,                   0,             0.91335,             0.92522,              0.9468,             0.71035,            0.038578,             0.10426,                   0,            0.009505,            0.009505,            0.009505
                  92,            0.035288,            0.039935,                   0,             0.92337,             0.91507,             0.94963,             0.70264,            0.039293,             0.10503,                   0,            0.009505,            0.009505,            0.009505
                  93,            0.035198,            0.041542,                   0,             0.92466,             0.90192,             0.93598,             0.65551,            0.043254,              0.1079,                   0,            0.009505,            0.009505,            0.009505
                  94,            0.036875,            0.042031,                   0,             0.93676,             0.92893,              0.9542,             0.70776,            0.039273,             0.10072,                   0,            0.009505,            0.009505,            0.009505
                  95,            0.034861,            0.042715,                   0,             0.93946,             0.91543,             0.95321,             0.66616,            0.040992,             0.10465,                   0,            0.009505,            0.009505,            0.009505
                  96,            0.034282,            0.041878,                   0,             0.94864,             0.90725,             0.95498,             0.71249,             0.03887,             0.10337,                   0,            0.009505,            0.009505,            0.009505
                  97,            0.034562,            0.042461,                   0,             0.92358,             0.92335,             0.95714,             0.67389,            0.040046,             0.10374,                   0,            0.009505,            0.009505,            0.009505
                  98,            0.035528,            0.040901,                   0,             0.93428,             0.92253,             0.95093,             0.71909,            0.037751,            0.098431,                   0,            0.009505,            0.009505,            0.009505
